Title,Name_Repo,Date_Created,Num_Comment,Label_Issue,Identity_Repo,Identity_Global,Body
车辆跨境跟踪算法检测不到视频中的车辆轨迹,PaddlePaddle/PaddleDetection,2022-11-04 13:37:36,0,,7272,1436085677,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

Deploy

### Bug描述 Describe the Bug

在运行deploy/pptracking/python/mot_sde_infer.py时报错，显示没有在视频中找到车辆轨迹
![0](https://user-images.githubusercontent.com/98454125/199984428-33ae689f-9d09-4f1c-837c-9b2049f659dc.png)
在postprocess.py文件中添加了一行print([idx])，打印出了[0]至[24]，同时添加了数组的越界处理
#6649 
![1](https://user-images.githubusercontent.com/98454125/199984865-81aa8d5a-eec4-4960-8c39-3b67bf6da151.png)



### 复现环境 Environment

- OS: Windows
- PaddlePaddle: 2.3.2
- PaddleDetection: release/2.5
- Python: 3.9.13
- CUDA: 11.7
- cuDNN: 8.4 

### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [x] 我愿意提交PR！I'd like to help by submitting a PR!"
Salient Object Detection,PaddlePaddle/PaddleDetection,2022-11-04 08:31:42,0,feature request,7271,1435726832,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有类似需求。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar feature requests.


### 需求描述 Feature Description

1. 任务目标（请描述你正在做的项目是什么，如模型、论文、项目是什么？）
进行画幅中心显著性目标的检测/分割

2. 需求场景（请描述你的项目中为什么需要用此功能）
显著性目标检测的好处是，无论目标具体是什么类别，都可以将最主要的那个提取出来。这样就可以一个模型适用多个场景，而不用针对每个场景单独训练这个场景的数据。
具体来说，一个好的显著性目标检测模型，既可以适用于仪表盘识别中提取仪表盘，又适用于人像拍照时提取被摄人物，而不需要收集数据以及重新训练。
SOD也一直是视觉领域的重要课题，包括ECCV等顶会也有专门的SOD赛道。

3. 功能描述（请简单描述或设计这个功能）
在PaddleDetection中加入一个Salient Object Detection的分支，复现以及提供一些SOTA模型可供大家试用

### 是否愿意提交PR Are you willing to submit a PR?

- [ ] Yes I'd like to help by submitting a PR!"
如何将多类算法的PR曲线画在一张图上呢？,PaddlePaddle/PaddleDetection,2022-11-04 08:24:25,0,,7270,1435719726,
如何在评估代码输出percison和recall的值呢？谢谢了,PaddlePaddle/PaddleDetection,2022-11-04 06:12:11,0,,7268,1435610491,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

我训练单分类的目标检测，在评估过程中，怎么才能输出percision和recall的数值呢，我看评估代码里只有画出p和R的曲线，没有输出具体的数值，谢谢！"
8显卡安装报错,PaddlePaddle/PaddleDetection,2022-11-04 04:40:58,2,,7267,1435543169,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

报错什么原因？
Error: Your machine doesn't support AVX, but the installed PaddlePaddle is avx core, you should reinstall paddlepaddle with no-avx core.
Traceback (most recent call last):
  File ""/root/pyenv/paddel_env/test.py"", line 1, in <module>
    import paddle
  File ""/root/anaconda3/envs/paddle_env/lib/python3.8/site-packages/paddle/__init__.py"", line 25, in <module>
linux系统
8张p106显卡

还有
你们的回答问题太敷衍了！ 之前的问题你们问了一下就没有再跟进了！ "
如何修改车辆跨境跟踪方案输出文本信息的顺序？,PaddlePaddle/PaddleDetection,2022-11-03 12:29:45,2,,7264,1434581486,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

官方文档中说明跨镜头跟踪结果输出的txt文件每行信息分别是是camera_id,frame,id,x1,y1,w,h,-1,-1
目前我想替换一下frame和id两者的顺序，改为camera_id, id, frame的形式，请问该在何处进行修改？"
使用：python tools/anchor_cluster.py 报AttributeError: 'SchemaDict' object has no attribute 'parse_dataset',PaddlePaddle/PaddleDetection,2022-11-03 10:58:30,4,,7262,1434466479,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

使用：python tools/anchor_cluster.py 报AttributeError: 'SchemaDict' object has no attribute 'parse_dataset'"
STGCN的数据准备报错,PaddlePaddle/PaddleDetection,2022-11-03 10:04:37,0,,7260,1434396582,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

_No response_

### Bug描述 Describe the Bug

我想解析json文件内容、并保存为PaddleVideo可用的文件格式但跑了提供的脚本报错。
跑的脚本是：PaddleVideo/applications/PPHuman/datasets下的prepare_dataset.py 。

以下是报错的信息：
  File ""prepare_dataset.py"", line 88, in <module>
    video_anno, score = decode_json_path(os.path.join(""annotations"", path))
  File ""prepare_dataset.py"", line 77, in decode_json_path
    video_anno, scores = convert_to_ppvideo(all_kpts_np, all_score_np,
  File ""prepare_dataset.py"", line 25, in convert_to_ppvideo
    keypoint = np.expand_dims(np.transpose(all_kpts, [2, 0, 1]),
  File ""<__array_function__ internals>"", line 180, in transpose
  File ""/home/anaconda3/envs/paddle/lib/python3.8/site-packages/numpy/core/fromnumeric.py"", line 660, in transpose
    return _wrapfunc(a, 'transpose', axes)
  File ""/home/anaconda3/envs/paddle/lib/python3.8/site-packages/numpy/core/fromnumeric.py"", line 57, in _wrapfunc
    return bound(*args, **kwds)
ValueError: axes don't match array


### 复现环境 Environment

-PaddlePaddle: 2.2.2
-PAddleDetection: develop
-Python: 3.8
-CUDA: 11.2
-CUDNN: 8.1

### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [ ] 我愿意提交PR！I'd like to help by submitting a PR!"
评估如何打印precision和recall,PaddlePaddle/PaddleDetection,2022-11-03 07:17:02,2,,7258,1434212847,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

您好，我在训练voc格式的数据集的时候，我看在评估模型的时候只打印了map的值，请问如何打印出来precision和recall的值呢？谢谢了。"
picodet 评估报错,PaddlePaddle/PaddleDetection,2022-11-03 06:16:28,4,,7257,1434166652,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

paddleDet: release/2.4
paddle version: 2.2.2
Picodet eval时报错，报错信息如下：
![image](https://user-images.githubusercontent.com/37332773/199657883-df87c078-d07d-4255-9947-0af1a5ed26b2.png)
"
openvino使用gpu加载模型报RuntimeError: Operation: multiclass_nms3_0.tmp_1 of type MulticlassNms(op::v0) is not supported,PaddlePaddle/PaddleDetection,2022-11-03 02:59:57,1,,7256,1434032212,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

openvino使用gpu加载模型报RuntimeError: Operation: multiclass_nms3_0.tmp_1 of type MulticlassNms(op::v0) is not supported，如何解决？"
yolov3_mobilenetv3训练自己数据集损失一直降不下来,PaddlePaddle/PaddleDetection,2022-11-03 02:11:27,9,,7255,1434007213,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

yolov3_mobilenetv3训练自己数据集损失一直降不下来，数据集大概6800张，两个类别，anchors重新计算过了（貌似没啥影响），但是损失一直在30左右，做一下预测，效果很差，基本上原数据集的图都框不出来，
architecture: YOLOv3
use_gpu: true
max_iters: 500000
log_iter: 20
save_dir: output
snapshot_iter: 10000
metric: COCO
pretrain_weights: weights/mobel_fire.pdparams
weights: output/yolov3_mobilenet_v1_fire/best_model
num_classes: 2
use_fine_grained_loss: false

YOLOv3:
  backbone: MobileNetV3
  yolo_head: YOLOv3Head

MobileNetV3:
  norm_type: sync_bn
  norm_decay: 0.
  model_name: large
  scale: 1.
  extra_block_filters: []
  feature_maps: [1, 2, 3, 4, 6]

YOLOv3Head:
  anchor_masks: [[6, 7, 8], [3, 4, 5], [0, 1, 2]]
  anchors: [[24, 33], [52, 69], [73, 139],
          [148, 84], [99, 265], [167, 163],
          [341, 137], [221, 305], [446, 385]]
  norm_decay: 0.
  yolo_loss: YOLOv3Loss
  nms:
    background_label: -1
    keep_top_k: 100
    nms_threshold: 0.45
    nms_top_k: 1000
    normalized: false
    score_threshold: 0.01

YOLOv3Loss:
  ignore_thresh: 0.7
  label_smooth: false

LearningRate:
  base_lr: 0.00001
  schedulers:
  - !PiecewiseDecay
    gamma: 0.1
    milestones:
    - 400000
    - 450000
  - !LinearWarmup
    start_factor: 0.
    steps: 4000

OptimizerBuilder:
  optimizer:
    momentum: 0.9
    type: Momentum
  regularizer:
    factor: 0.0005
    type: L2

_READER_: 'yolov3_reader.yml'
"
关于在pd2.4下训练的目标检测模型不能在pd2.5下使用trt加速报错的问题描述,PaddlePaddle/PaddleDetection,2022-11-03 00:49:18,8,,7254,1433960135,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

Deploy

### Bug描述 Describe the Bug

情况描述：用pd2.4的代码训练了一个目标检测模型，在pd2.5里使用trt加速失败的现象描述。

cuda10.2
cudnn7.6.5
tensorRT7.0.0.11
windows环境

![image](https://user-images.githubusercontent.com/104408880/199628142-977eafd7-4632-4995-be92-005142ac4b3e.png)

报错提示：
![Uploading image.png…]()





### 复现环境 Environment

Windows
python3.8


### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [X] 我愿意提交PR！I'd like to help by submitting a PR!"
"ERROR 2022-11-02 08:42:32,186 launch_utils.py:604] ABORT!!! Out of all 1 trainers, the trainer process with rank=[0] was aborted. Please check its log.",PaddlePaddle/PaddleDetection,2022-11-02 09:46:56,1,,7252,1432816563,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

使用paddledetection下的ppyoloe进行训练，后出现这个问题

> Traceback (most recent call last):
  File ""tools/train.py"", line 172, in <module>
    main()
  File ""tools/train.py"", line 168, in main
    run(FLAGS, cfg)
  File ""tools/train.py"", line 132, in run
    trainer.train(FLAGS.eval)
  File ""/mnt/PaddleDetection/ppdet/engine/trainer.py"", line 453, in train
    for step_id, data in enumerate(self.loader):
  File ""/mnt/PaddleDetection/ppdet/data/reader.py"", line 209, in __next__
    return next(self.loader)
  File ""/usr/local/python3.7.0/lib/python3.7/site-packages/paddle/fluid/dataloader/dataloader_iter.py"", line 697, in __next__
    data = self._reader.read_next_var_list()
  File ""/usr/local/python3.7.0/lib/python3.7/site-packages/paddle/fluid/multiprocess_utils.py"", line 134, in __handler__
    core._throw_error_if_process_failed()
SystemError: (Fatal) DataLoader process (pid 1104) exited is killed by signal: Killed. (at /paddle/paddle/fluid/imperative/data_loader.cc:181)

> INFO 2022-11-02 08:42:32,186 launch_utils.py:341] terminate all the procs

> ERROR 2022-11-02 08:42:32,186 launch_utils.py:604] ABORT!!! Out of all 1 trainers, the trainer process with rank=[0] was aborted. Please check its log.
> INFO 2022-11-02 08:42:36,191 launch_utils.py:341] terminate all the procs
> INFO 2022-11-02 08:42:36,191 launch.py:311] Local processes completed.

rank是代表显卡出现问题嘛？我是用的docker，只有一颗gpu，请问该怎么解决呢？"
人体骨骼点行为识别的二次开发,PaddlePaddle/PaddleDetection,2022-11-02 09:43:58,4,,7251,1432809753,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

你好，我想二次开发PP-Human下的基于骨骼点的摔倒识别。请问如果我想在摔倒识别上新增新的行为，那在准备新的数据集时，需要把摔跤的数据也添加进新的数据集一起训练吗？"
yolov7 训练自定义数据集，卡主不动，且不报错,PaddlePaddle/PaddleDetection,2022-11-02 03:32:02,5,,7249,1432425568,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

Training

### Bug描述 Describe the Bug

1，构建了一个自定义数据集，COCO格式的；
2，PPyoloe上可以正常训练；
3，yolov7训练完第一个epoch后，第二个epoch训练到中间，然后卡住不动；

### 复现环境 Environment

- OS: Linux, 4.15.0-163-generic
- PaddlePaddle: 2.3.2
- PaddleDetection: release/2.5
- Python: 3.7.5
- CUDA: 11.2.152
- CUDNN: 8.1.1
- GCC: 7.5.0

### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [ ] 我愿意提交PR！I'd like to help by submitting a PR!"
s2anet 训练旋转矩形检测速度很慢,PaddlePaddle/PaddleDetection,2022-11-02 01:18:49,2,,7248,1432319091,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

数据集约1万张图，4张16G显存v100 batch_size 10 ，lr0.05 一个batch 要差不多3分钟，看了下

[11/02 09:14:21] ppdet.engine INFO: Epoch: [0] [  0/200] learning_rate: 0.016667 loss: 4.026768 fam_cls_loss: 1.191281 fam_reg_loss: 1.182869 odm_cls_loss: 1.165921 odm_reg_loss: 0.486696 eta: 1 day, 22:42:04 batch_cost: 10.5078 data_cost: 1.3552 ips: 0.9517 images/s
[11/02 09:17:41] ppdet.engine INFO: Epoch: [0] [ 20/200] learning_rate: 0.017333 loss: 2.455547 fam_cls_loss: 0.776772 fam_reg_loss: 0.681920 odm_cls_loss: 0.615343 odm_reg_loss: 0.256558 eta: 1 day, 20:27:41 batch_cost: 9.9918 data_cost: 0.0006 ips: 1.0008 images/s
"
复现pphuman模型部署serving不能检测到目标对象,PaddlePaddle/PaddleDetection,2022-11-02 01:11:06,15,,7247,1432313950,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

_No response_

### Bug描述 Describe the Bug

你好，我正在部署pphuman下的[ppyoloe_crn_s_36e_pphuman.yml]
(https://github.com/PaddlePaddle/PaddleDetection/blob/release/2.5/configs/pphuman/ppyoloe_crn_s_36e_pphuman.yml)模型，
[我按照部署步骤](https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.5/deploy/serving/python)进行部署，只是将模型.yml进行了替换，服务能够成功启动，但是客户端测试一个有人的图片检测不到结果。
image

### 复现环境 Environment

-os:linux
-python:3.6.13
-paddle-serving-app        0.9.0
-paddle-serving-client     0.9.0
-paddle-serving-server-gpu 0.9.0.post112
-paddle2onnx               1.0.1
-paddleclas                2.4.3
-cuda  :11.6


### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [ ] 我愿意提交PR！I'd like to help by submitting a PR!"
