,Title,Name_Repo,State,Assignees,Proposed_By,Closed_By,Date_Created,Date_Closed,Num_Comment,Label_Issue,Identity_Repo,Identity_Global,Body,Sentiment_Title,Sentiment_Body
10,How to train,hufu6371/DORN,open,,boyob,,2019-04-06 12:55:49,,0.0,,29.0,430031154.0,Please provide some instructions to train.,neutral,neutral
11,encoding issue?,rsennrich/subword-nmt,closed,,kmario23,rsennrich,2018-09-05 17:33:44,2018-09-06 05:27:37,2.0,,63.0,357331031.0,"Hi,
  I have been using this code for sometime but lately I've been getting this issue. 

`no pair has frequency >= 2. Stopping`

What's strange about this is that it works with some input files whereas it fails with the above message for some files (although these are exactly in the same format as required)

What exactly is the problem? Also, any ideas about how to fix this? I have already tried the solution suggested in #29 but that didn't help much.

thanks!",neutral,negative
12,Age recognition Errors when Mtcnn model fails to locate the face,deepinsight/insightface,open,,zylxadz,,2018-11-22 03:23:39,,1.0,,449.0,383366968.0,"when running insightface/gender-age/test.py,the following error happens.
It is caused by Mtcnn model failing to locate the face.Does anyone have the same problem?Appreciate your reply.Thanks a lot.

File ""/home/ndir/.local/lib/python2.7/site-packages/mxnet/module/module.py"", line 606, in forward
    new_data_shapes = tuple(i.shape for i in data_batch.data)
AttributeError: 'NoneType' object has no attribute 'data'

environment：
cuda9.0+python2.7+mxnet-cu90",negative,negative
13,How to get AP for mask and box separately,matterport/Mask_RCNN,open,,mminakshi,,2020-03-03 19:08:54,,17.0,,2025.0,574879237.0,,neutral,neutral
14,render birds eye view video,nutonomy/nuscenes-devkit,closed,,xli4217,holger-motional,2020-04-23 19:01:04,2020-04-24 00:36:57,1.0,,368.0,605783793.0,"Hi, I was wondering if there is support to render top down view video to visualize trajectory prediction results for example. Thank you. ",neutral,positive
15,How can ap values be visualized during VOC dataset training and testing,open-mmlab/mmdetection,closed,ZwwWayne,gaobo25,ZwwWayne,2022-10-09 02:22:00,2022-10-09 07:21:34,3.0,feature request,8973.0,1402122772.0,"### What is the problem this feature will solve?

How can ap values be visualized during VOC dataset training and testing

### What is the feature you are proposing to solve the problem?

How can ap values be visualized during VOC dataset training and testing

### What alternatives have you considered?

_No response_",neutral,positive
16,Missing parts in fused point clouds,bertjiazheng/Structured3D,closed,,ywyue,ywyue,2022-05-19 22:28:35,2022-06-13 09:03:12,11.0,question,26.0,1242394661.0,"Hi,

Thanks for the great work! I am trying to generate point cloud from the dataset. I follow this [script](https://gist.github.com/bertjiazheng/c43066678c9070448d7076291d0d30d9) and generate the point cloud for scene_00000 based on the Structured3D_perspective_full_00 dataset. However, there are some missing parts obviously. Do you think this is normal or is there a way to generate a more complete point cloud? Thanks in advance!

![image](https://user-images.githubusercontent.com/40747438/169414713-59b6d578-fb7a-4d38-9b2d-42ca3ea22d84.png)

Best,
Yue



",neutral,positive
17,Question about deepfill V2,JiahuiYu/generative_inpainting,closed,,erhuodaosi,erhuodaosi,2019-06-17 03:08:12,2019-06-20 02:24:14,0.0,,276.0,456721976.0,"Wonderful work!
It is so awesome a project!
I have read DeepFillv2 release #62 carefully,but I still have some questions about deepfillv2.
Why we use sketch channel(user guide)?Given a broken picture,if we use HED to generate the edge flist,and training it with edge flist.That's equal to know the broken area in advance.So what is the meaning to use sketch channel?By changing the broken area in a user guide way to generate the picture we want?How do you do in this sketch channel?Do you just put the original picture,mask and edge flist as input and train?
I would very appreciate if you could help me,thank you very much!
Best wishes to you!",neutral,positive
18,FileNotFoundError: [Errno 2] File b'../../../../data/raw/event-story-cluster/event_story_cluster.txt' does not exist,BangLiu/ArticlePairMatching,open,,empty-id,,2019-12-19 10:41:36,,11.0,,18.0,540230333.0,"<img width=""1112"" alt=""image"" src=""https://user-images.githubusercontent.com/56990007/71167145-1e2aa380-228f-11ea-8edc-e7fcfc58a02f.png"">
",neutral,neutral
19,demo.py issue,Zhongdao/Towards-Realtime-MOT,closed,,pacearthur,pacearthur,2019-12-15 23:39:38,2019-12-22 10:02:36,1.0,,63.0,538124144.0,"Hi,

Can someone help me about this issue ?

![Capture](https://user-images.githubusercontent.com/33637884/70871147-5df64000-1f9c-11ea-8242-86146168bdf2.PNG)

**First :**
""Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx""

**And also:**
""[image2 @ 0000021d85b49580] Could find no file with path 'results\frame/%05d.jpg' and index in the range 0-4 results\frame/%05d.jpg: No such file or directory""


Indeed I don't have any NVIDIA GPU on my computer but I thought that it will be possible to run the demo.py script
",neutral,neutral
